Task ID,Speed (km/h),Average Power (W),Average HR (bpm),Reward,Pain/Discomfort,Physical Difficulty,Mental Difficulty,Timestamp

1,16.7,83,123,2,3,1,1,2025-04-03T11:18:40.018Z
3,10.2,160,140,3,4,3,2,2025-04-03T11:22:34.420Z
2,14,134,140,2,3,2,1,2025-04-03T11:25:43.410Z
3,12.6,203,151,4,3,4,2,2025-04-03T11:29:34.261Z
1,18.6,97,137,2,2,2,2,2025-04-03T11:31:58.331Z
2,15,149,138,2,2,2,2,2025-04-03T11:34:44.012Z
1,25.2,168,141,3,2,2,1,2025-04-03T11:36:34.639Z
2,13,122,134,2,2,2,2,2025-04-03T11:39:44.079Z
3,11.9,189,147,4,4,4,3,2025-04-03T11:42:57.448Z
2,14.7,143,144,2,2,2,2,2025-04-03T11:46:13.596Z
1,20.9,118,131,2,2,2,2,2025-04-03T11:48:17.310Z
3,11.2,179,146,3,4,4,3,2025-04-03T11:51:43.719Z
1,17.6,91,132,3,2,2,2,2025-04-03T11:54:06.404Z
3,10.3,162,141,4,3,3,2,2025-04-03T11:57:46.374Z
2,16.2,167,144,3,3,3,3,2025-04-03T12:00:19.514Z
3,11.5,182,152,4,4,4,3,2025-04-03T12:03:44.559Z
2,13.8,139,137,4,3,2,2,2025-04-03T12:06:41.565Z
1,25.2,181,141,4,2,3,2,2025-04-03T12:08:33.039Z
3,10.9,172,151,4,3,4,3,2025-04-03T12:12:17.715Z
1,25,205,141,4,3,3,3,2025-04-03T12:14:16.323Z
2,13.1,123,136,4,3,3,3,2025-04-03T12:17:28.567Z
1,18,85,127,4,2,2,2,2025-04-03T12:20:00.074Z
3,10.2,161,146,4,4,4,3,2025-04-03T12:23:37.896Z
2,14,133,139,3,3,2,2,2025-04-03T12:26:27.795Z
3,17.5,293,171,7,4,6,4,2025-04-03T12:29:07.376Z
2,18.5,211,164,5,4,4,3,2025-04-03T12:31:23.429Z
1,32.7,316,177,7,6,5,4,2025-04-03T12:33:06.819Z
