Task ID,Speed (km/h),Average Power (W),Average HR (bpm),Reward,Pain/Discomfort,Physical Difficulty,Mental Difficulty,Timestamp

3,13,210,147,5,4,8,7,2025-03-28T18:18:11.404Z
2,14.1,130,126,6,4,3,3,2025-03-28T18:21:26.247Z
1,15.1,61,103,5,1,2,2,2025-03-28T18:25:19.754Z
2,14.4,134,127,5,2,3,3,2025-03-28T18:27:55.003Z
3,13.6,219,156,5,6,8,7,2025-03-28T18:31:15.204Z
1,13.9,53,104,2,1,2,2,2025-03-28T18:35:51.156Z
3,12.8,204,160,5,6,8,7,2025-03-28T18:39:20.705Z
1,14.8,58,113,5,1,2,2,2025-03-28T18:42:04.446Z
2,14.6,135,133,5,3,5,3,2025-03-28T18:45:16.296Z
1,14.5,57,106,5,1,1,1,2025-03-28T18:48:03.025Z
3,12,190,157,7,7,9,7,2025-03-28T18:51:48.801Z
2,13.9,126,137,7,7,7,5,2025-03-28T18:54:45.351Z
3,11.6,183,159,8,9,9,8,2025-03-28T18:58:44.712Z
1,14.4,57,121,3,2,2,2,2025-03-28T19:01:31.117Z
2,15.1,140,136,5,6,4,3,2025-03-28T19:04:17.860Z
3,11.8,187,161,8,9,10,10,2025-03-28T19:09:45.381Z
1,14.2,55,110,2,1,1,1,2025-03-28T19:14:05.153Z
2,13.7,124,133,1,2,2,2,2025-03-28T19:17:58.733Z
3,11.5,181,162,8,9,10,9,2025-03-28T19:22:41.888Z
2,15.3,149,146,2,2,3,3,2025-03-28T19:25:33.608Z
1,13.8,53,114,2,1,1,1,2025-03-28T19:28:23.123Z
2,14.8,137,139,2,2,2,2,2025-03-28T19:31:42.527Z
3,10.8,171,157,8,8,8,9,2025-03-28T19:35:26.707Z
1,14.4,58,124,1,1,1,1,2025-03-28T19:38:20.272Z
3,11,173,155,9,9,9,9,2025-03-28T19:41:55.842Z
2,14,127,144,7,5,5,4,2025-03-28T19:45:00.890Z
1,14.9,60,115,2,2,2,2,2025-03-28T19:47:52.136Z
2,13.7,123,135,2,6,4,4,2025-03-28T19:51:16.744Z
1,14.1,56,112,2,1,1,1,2025-03-28T19:54:14.762Z
3,10.8,170,156,10,9,10,6,2025-03-28T19:58:06.639Z
