Task ID,Reward,Pain/Discomfort,Physical Difficulty,Timestamp

1,7,2,,2025-03-20T15:23:50.317Z
2,6,3,,2025-03-20T15:30:33.154Z
3,6,6,,2025-03-20T15:35:29.751Z
2,4,3,,2025-03-20T15:40:38.024Z
3,6,5,,2025-03-20T15:44:47.026Z
1,4,2,,2025-03-20T15:49:03.620Z
3,7,4,,2025-03-20T15:53:52.221Z
1,2,2,,2025-03-20T15:59:37.311Z
2,4,2,,2025-03-20T16:03:41.427Z
3,6,3,,2025-03-20T16:20:42.029Z
2,4,2,,2025-03-20T16:24:47.504Z
1,3,2,,2025-03-20T16:28:33.099Z
3,4,3,,2025-03-20T16:32:55.511Z
2,4,3,,2025-03-20T16:36:54.684Z
1,4,3,,2025-03-20T16:40:28.609Z
2,4,2,,2025-03-20T16:59:45.909Z
3,4,3,,2025-03-20T17:04:10.506Z
1,2,2,,2025-03-20T17:07:45.833Z
3,5,3,,2025-03-20T17:12:12.332Z
1,2,3,,2025-03-20T17:16:08.438Z
2,3,3,,2025-03-20T17:20:22.707Z
1,1,2,,2025-03-20T17:25:35.197Z
3,5,3,,2025-03-20T17:29:59.056Z
2,4,2,,2025-03-20T17:58:02.953Z
3,4,4,,2025-03-20T18:02:34.351Z
1,3,3,,2025-03-20T18:07:58.440Z
2,4,3,,2025-03-20T18:12:06.397Z
1,2,2,,2025-03-20T18:16:19.264Z
3,5,6,,2025-03-20T18:20:42.924Z
1,3,3,,2025-03-20T18:27:32.844Z
2,4,5,,2025-03-20T18:32:01.202Z
