Task ID,Speed (km/h),Average Power (W),Average HR (bpm),Reward,Pain/Discomfort,Physical Difficulty,Mental Difficulty,Timestamp

3,19,323,136,7,2,4,1,2025-03-25T18:01:30.888Z
1,33.2,317,129,4,3,4,1,2025-03-25T18:04:43.989Z
2,24.5,289,139,5,3,3,1,2025-03-25T18:07:45.969Z
3,18.5,311,150,7,4,6,1,2025-03-25T18:10:24.526Z
2,22.7,262,146,6,3,2,1,2025-03-25T18:12:48.213Z
2,23.6,278,152,4,2,2,1,2025-03-25T18:22:55.095Z
1,30.9,276,143,4,3,2,1,2025-03-25T18:23:46.004Z
2,23.3,275,151,5,3,3,1,2025-03-25T18:25:58.391Z
1,30.4,259,137,4,2,2,1,2025-03-25T18:27:20.990Z
1,28.9,243,138,3,4,2,1,2025-03-25T18:28:44.119Z
2,22.7,270,148,6,4,4,2,2025-03-25T18:33:29.858Z
3,16.7,278,155,7,7,6,3,2025-03-25T18:38:10.949Z
1,29,233,133,5,4,3,1,2025-03-25T18:40:10.000Z
3,17,285,155,7,7,7,3,2025-03-25T18:43:40.934Z
1,29.8,254,139,6,4,3,2,2025-03-25T18:46:36.414Z
2,23.6,279,154,6,5,4,2,2025-03-25T18:49:26.071Z
1,29.6,241,144,6,4,3,1,2025-03-25T18:51:20.045Z
3,17,282,161,8,7,7,4,2025-03-25T18:54:38.221Z
2,21.7,248,151,7,7,6,4,2025-03-25T18:57:24.334Z
1,28.9,225,130,6,5,3,2,2025-03-25T19:08:51.469Z
3,17.4,289,155,8,7,7,3,2025-03-25T19:12:03.800Z
1,29.3,240,142,5,6,4,2,2025-03-25T19:13:59.292Z
2,22.4,256,143,6,5,6,3,2025-03-25T19:22:25.592Z
3,16.8,281,156,8,7,6,3,2025-03-25T19:25:15.106Z
1,30.6,255,143,6,6,4,3,2025-03-25T19:27:22.666Z
2,22.3,247,153,7,7,5,3,2025-03-25T19:29:50.708Z
3,16.8,280,157,9,7,7,4,2025-03-25T19:33:32.727Z
1,29.2,223,139,6,7,5,4,2025-03-25T19:36:56.668Z
3,19.9,343,171,9,7,8,4,2025-03-25T19:42:27.422Z
2,20.3,221,154,8,7,7,3,2025-03-25T19:45:00.130Z
