Task ID,Speed (km/h),Average Power (W),Average HR (bpm),Reward,Pain/Discomfort,Physical Difficulty,Mental Difficulty,Timestamp

3,7.6,117,138,7,4,3,3,2025-03-31T14:50:20.239Z
2,9.9,87,130,6,3,3,3,2025-03-31T14:54:33.265Z
1,16.2,72,122,7,4,3,3,2025-03-31T14:57:31.127Z
2,10.1,89,132,7,5,4,4,2025-03-31T15:02:05.750Z
1,11.3,44,118,4,3,3,3,2025-03-31T15:07:37.098Z
3,8.2,127,149,6,6,5,5,2025-03-31T15:12:22.314Z
1,19.1,97,142,5,4,4,4,2025-03-31T15:15:15.412Z
3,7.7,119,155,5,5,5,5,2025-03-31T15:20:14.285Z
2,9.8,88,143,5,5,5,6,2025-03-31T15:24:36.959Z
1,16.5,73,137,5,3,3,4,2025-03-31T15:27:41.508Z
3,7.5,116,151,5,7,7,7,2025-03-31T15:32:44.978Z
2,9.5,83,140,6,5,6,6,2025-03-31T15:38:12.314Z
1,12.8,49,121,5,4,4,4,2025-03-31T15:42:01.754Z
2,9.3,82,135,6,5,5,5,2025-03-31T15:46:23.076Z
3,6.6,102,142,6,5,6,6,2025-03-31T15:53:27.324Z
1,16.2,72,133,5,4,3,3,2025-03-31T15:57:05.542Z
3,8.1,126,153,5,7,8,7,2025-03-31T16:01:46.621Z
2,9.9,85,147,5,5,4,4,2025-03-31T16:06:11.420Z
1,16.4,71,131,6,4,4,4,2025-03-31T16:09:01.651Z
2,11,100,145,5,6,6,7,2025-03-31T16:12:31.794Z
3,8.1,125,155,6,8,8,8,2025-03-31T16:19:56.154Z
2,11.4,104,153,5,7,6,6,2025-03-31T16:23:26.374Z
1,16.8,78,137,7,4,4,5,2025-03-31T16:26:17.207Z
3,7.6,117,156,6,7,6,6,2025-03-31T16:31:20.295Z
1,13.9,57,138,6,5,5,5,2025-03-31T16:34:07.350Z
3,7,109,146,5,5,8,7,2025-03-31T16:39:42.828Z
2,12.3,115,157,6,6,6,7,2025-03-31T16:42:53.695Z
1,17.4,80,143,6,4,4,4,2025-03-31T16:45:41.874Z
3,8.4,133,155,7,6,6,6,2025-03-31T16:50:20.455Z
2,9.5,83,146,6,7,7,7,2025-03-31T16:54:33.667Z
