Task ID,Speed (km/h),Average Power (W),Average HR (bpm),Reward,Pain/Discomfort,Physical Difficulty,Mental Difficulty,Timestamp

3,6.8,106,138,3,7,9,6,2025-04-02T14:24:21.827Z
2,9.2,79,137,7,3,7,3,2025-04-02T14:28:33.520Z
1,11.8,41,116,8,1,2,1,2025-04-02T14:31:53.857Z
2,7.5,63,122,7,2,5,5,2025-04-02T14:36:46.429Z
1,14,56,119,7,1,1,1,2025-04-02T14:39:46.496Z
3,7.1,111,149,3,8,8,9,2025-04-02T14:44:57.138Z
3,10.2,35,119,6,1,1,1,2025-04-02T14:49:16.269Z
3,6.5,100,143,2,8,8,9,2025-04-02T14:55:31.793Z
2,10.7,96,146,6,6,7,6,2025-04-02T14:59:06.182Z
1,12.7,48,124,5,1,1,1,2025-04-02T15:02:03.892Z
2,9.1,79,135,5,7,7,7,2025-04-02T15:06:15.161Z
3,6.1,94,144,3,8,9,9,2025-04-02T15:12:17.222Z
2,8.4,73,135,6,7,7,7,2025-04-02T15:16:41.296Z
1,13.2,53,125,5,1,1,1,2025-04-02T15:19:46.250Z
3,6.3,98,146,2,8,8,9,2025-04-02T15:25:31.742Z
2,11.6,105,152,3,7,7,8,2025-04-02T15:29:00.750Z
1,13.6,55,123,5,2,1,1,2025-04-02T15:31:57.741Z
3,6.4,99,147,2,9,9,8,2025-04-02T15:38:02.483Z
2,9.9,87,147,3,7,8,8,2025-04-02T15:42:01.538Z
3,6.3,97,147,1,9,9,10,2025-04-02T15:48:00.507Z
1,14.3,58,131,5,1,1,1,2025-04-02T15:50:44.081Z
2,10,87,141,3,7,7,6,2025-04-02T15:54:31.533Z
3,6.1,94,146,1,9,9,10,2025-04-02T16:00:18.498Z
1,15.7,68,139,5,2,1,1,2025-04-02T16:03:00.787Z
3,5.8,90,143,1,10,10,10,2025-04-02T16:09:08.513Z
1,13.9,54,134,4,2,1,1,2025-04-02T16:12:02.350Z
2,8.5,74,135,2,7,8,7,2025-04-02T16:16:34.310Z
3,4.8,74,134,1,9,10,10,2025-04-02T16:25:07.490Z
2,9,78,144,4,7,8,8,2025-04-02T16:29:08.360Z
1,13.1,50,130,5,1,1,1,2025-04-02T16:32:03.854Z
