Task ID,Speed (km/h),Average Power (W),Average HR (bpm),Reward,Pain/Discomfort,Physical Difficulty,Mental Difficulty,Timestamp

1,15.8,73,102,7,1,1,1,2025-03-25T14:55:22.234Z
3,13.8,225,141,7,5,7,6,2025-03-25T14:59:03.851Z
2,17.3,185,142,6,6,4,3,2025-03-25T15:02:08.555Z
1,17.9,81,118,2,1,1,1,2025-03-25T15:04:55.130Z
3,13.7,224,147,7,7,7,6,2025-03-25T15:08:30.860Z
1,14.7,59,113,2,1,1,1,2025-03-25T15:14:29.573Z
2,14.6,134,135,3,4,3,2,2025-03-25T15:18:17.925Z
3,13.8,223,149,6,7,8,6,2025-03-25T15:23:17.151Z
1,16.1,67,117,3,4,1,1,2025-03-25T15:27:30.269Z
3,13.3,215,148,6,7,7,6,2025-03-25T15:30:49.595Z
2,14,127,132,3,4,2,2,2025-03-25T15:35:38.566Z
1,15.4,63,110,3,2,1,1,2025-03-25T15:40:10.588Z
2,13.8,125,131,4,5,5,3,2025-03-25T15:45:44.839Z
3,12.3,198,142,7,8,8,6,2025-03-25T15:49:44.287Z
1,15.3,63,111,2,3,1,1,2025-03-25T15:54:48.589Z
2,15.7,145,137,4,4,2,1,2025-03-25T15:59:09.095Z
1,16.6,73,111,3,3,1,1,2025-03-25T16:02:32.103Z
2,15.7,143,136,5,6,4,2,2025-03-25T16:06:31.280Z
3,14.4,236,152,8,7,8,7,2025-03-25T16:10:43.746Z
1,15.5,67,118,3,3,1,1,2025-03-25T16:14:25.919Z
2,14.8,136,138,4,5,4,2,2025-03-25T16:18:14.133Z
3,14.2,231,152,7,7,9,4,2025-03-25T16:22:24.913Z
1,14.6,60,119,4,3,1,1,2025-03-25T16:25:42.042Z
3,13.5,218,153,7,7,8,3,2025-03-25T16:29:28.986Z
2,15.4,144,142,6,7,3,3,2025-03-25T16:32:51.719Z
1,15.1,63,119,4,3,1,1,2025-03-25T16:36:26.047Z
3,12.9,207,150,8,8,7,3,2025-03-25T16:40:18.541Z
2,15.5,143,148,5,6,4,2,2025-03-25T16:43:33.684Z
1,15.9,69,119,1,2,1,1,2025-03-25T16:46:50.185Z
3,15.5,255,160,5,5,5,5,2025-03-25T16:49:42.422Z
1,16,67,127,6,3,1,1,2025-03-25T16:53:28.184Z
2,15.7,147,144,10,6,2,1,2025-03-25T16:56:30.981Z
1,30.4,259,137,4,2,2,1,2025-03-25T18:14:55.178Z
2,23.6,278,152,4,2,2,1,2025-03-25T18:17:15.628Z
