Task ID,Speed (km/h),Average Power (W),Average HR (bpm),Reward,Pain/Discomfort,Physical Difficulty,Mental Difficulty,Timestamp

1,25.6,181,120,4,4,3,3,2025-03-26T12:09:20.560Z
3,18.7,323,152,7,6,8,4,2025-03-26T12:11:49.992Z
2,19.9,205,154,4,3,2,2,2025-03-26T12:14:15.301Z
3,16.2,270,162,7,4,8,6,2025-03-26T12:17:36.177Z
1,15.9,69,1234,2,3,1,1,2025-03-26T12:20:15.694Z
2,16.5,159,140,4,4,4,2,2025-03-26T12:22:55.588Z
3,13.9,223,154,8,6,6,7,2025-03-26T12:25:59.376Z
1,15.4,63,122,2,5,1,1,2025-03-26T12:28:39.037Z
2,15.3,142,133,2,5,2,2,2025-03-26T12:31:33.253Z
3,15,245,158,7,5,8,6,2025-03-26T12:34:51.941Z
1,16.3,77,123,1,4,1,1,2025-03-26T12:37:36.279Z
2,16.2,154,136,2,4,3,2,2025-03-26T12:40:31.985Z
1,15.1,61,118,2,4,1,2,2025-03-26T12:43:21.380Z
2,15.6,151,132,2,4,2,2,2025-03-26T12:45:55.120Z
3,16.7,281,157,9,6,8,6,2025-03-26T12:48:38.726Z
1,16.5,71,127,2,5,1,1,2025-03-26T12:51:11.231Z
2,15.1,143,132,2,6,2,1,2025-03-26T12:53:48.348Z
3,13.6,223,147,5,6,7,6,2025-03-26T12:56:48.413Z
1,15.4,64,121,3,6,2,2,2025-03-26T12:59:40.543Z
3,13.9,229,146,5,6,6,6,2025-03-26T13:02:59.579Z
2,15.5,145,134,3,6,2,2,2025-03-26T13:05:39.619Z
3,15.5,256,157,6,7,6,6,2025-03-26T13:08:37.110Z
1,18.1,86,123,2,6,1,1,2025-03-26T13:10:57.112Z
2,16,156,131,3,5,2,2,2025-03-26T13:13:37.344Z
3,13.8,224,149,5,6,6,5,2025-03-26T13:16:46.845Z
2,14.7,139,132,2,5,2,2,2025-03-26T13:19:32.957Z
1,15.5,63,117,1,6,1,1,2025-03-26T13:22:14.537Z
3,20.2,354,166,9,7,9,8,2025-03-26T13:24:42.343Z
2,19.4,205,157,3,6,3,3,2025-03-26T13:26:58.768Z
1,20.9,108,132,2,6,2,2,2025-03-26T13:29:20.353Z
