Task ID,Speed (km/h),Average Power (W),Average HR (bpm),Reward,Pain/Discomfort,Physical Difficulty,Mental Difficulty,Timestamp

3,9.8,156,160,6,4,6,1,2025-04-01T17:21:15.148Z
2,12.9,116,160,4,1,1,1,2025-04-01T17:24:44.838Z
1,17.1,75,149,2,1,1,1,2025-04-01T17:27:55.721Z
2,14.8,139,163,2,1,2,1,2025-04-01T17:30:49.838Z
3,11.6,183,172,5,3,5,3,2025-04-01T17:34:21.586Z
1,17.1,75,155,2,1,1,1,2025-04-01T17:41:01.606Z
3,10.4,164,171,4,4,4,5,2025-04-01T17:45:09.338Z
1,17.9,81,165,2,2,1,1,2025-04-01T17:47:34.709Z
2,14.7,137,172,3,2,3,2,2025-04-01T17:50:32.056Z
3,11.2,179,176,5,4,5,4,2025-04-01T17:54:01.779Z
1,17.4,78,165,2,3,2,2,2025-04-01T17:56:26.590Z
2,14.7,136,173,3,3,3,2,2025-04-01T17:59:25.386Z
3,10.2,160,174,4,5,5,4,2025-04-01T18:03:14.469Z
2,13.3,121,172,4,3,2,2,2025-04-01T18:06:32.936Z
1,22.5,135,165,5,3,3,1,2025-04-01T18:08:41.338Z
2,13.6,131,171,3,3,3,3,2025-04-01T18:14:36.063Z
1,21.6,120,161,2,3,2,1,2025-04-01T18:16:54.238Z
3,8.9,140,171,3,5,7,5,2025-04-01T18:21:20.274Z
2,15.3,147,172,5,4,4,5,2025-04-01T18:23:58.647Z
1,20.4,107,162,6,4,3,3,2025-04-01T18:26:10.784Z
3,9,140,170,5,6,6,7,2025-04-01T18:30:42.399Z
1,16.3,74,150,3,4,3,3,2025-04-01T18:37:21.970Z
3,9.7,152,168,7,6,8,7,2025-04-01T18:41:25.257Z
2,14.9,150,174,7,4,4,3,2025-04-01T18:45:06.176Z
3,10.3,163,177,8,6,6,6,2025-04-01T18:48:57.643Z
2,16.6,164,180,7,6,7,6,2025-04-01T18:51:27.465Z
1,24.1,149,172,8,7,7,4,2025-04-01T18:53:20.993Z
2,19,199,182,9,7,8,6,2025-04-01T18:55:45.739Z
1,32.2,267,186,10,7,8,7,2025-04-01T18:57:42.958Z
3,10.8,170,180,10,7,7,7,2025-04-01T19:02:30.860Z
