Task ID,Speed (km/h),Average Power (W),Average HR (bpm),Reward,Pain/Discomfort,Physical Difficulty,Mental Difficulty,Timestamp

3,20.6,356,159,8,6,7,2,2025-03-26T15:24:53.084Z
2,23.9,276,159,4,3,5,1,2025-03-26T15:27:11.532Z
1,29.6,225,159,7,5,2,1,2025-03-26T15:29:19.229Z
2,22.1,238,165,8,5,4,2,2025-03-26T15:31:37.710Z
1,21.8,117,147,9,3,1,3,2025-03-26T15:33:55.764Z
3,18.1,305,143,4,8,9,8,2025-03-26T15:36:31.388Z
1,19.5,96,131,7,6,3,1,2025-03-26T15:39:36.036Z
3,14.7,238,121,3,7,8,6,2025-03-26T15:42:50.845Z
2,19.5,193,76,7,4,6,2,2025-03-26T15:46:18.469Z
1,20.2,101,141,7,4,1,1,2025-03-26T15:49:08.253Z
3,14.7,240,167,4,7,9,7,2025-03-26T15:52:20.738Z
2,16.6,156,169,4,6,6,3,2025-03-26T15:55:01.995Z
1,16.2,68,136,3,4,1,2,2025-03-26T15:57:40.989Z
3,16.3,271,166,9,7,7,7,2025-03-26T16:00:42.344Z
1,16.1,67,145,6,5,1,1,2025-03-26T16:03:36.482Z
2,17.8,169,159,6,6,4,2,2025-03-26T16:09:19.754Z
3,14.5,237,167,6,6,7,6,2025-03-26T16:12:34.631Z
2,16.4,154,165,4,4,4,2,2025-03-26T16:15:33.833Z
1,17,73,133,7,4,1,1,2025-03-26T16:18:41.277Z
2,17.1,160,148,6,4,4,2,2025-03-26T16:21:41.413Z
3,15.1,246,131,6,6,7,5,2025-03-26T16:25:44.828Z
2,16.7,156,134,4,4,4,1,2025-03-26T16:29:35.951Z
1,16.7,73,131,3,2,1,1,2025-03-26T16:32:18.646Z
3,14.8,244,122,4,7,7,6,2025-03-26T16:36:25.700Z
1,16.3,70,136,3,6,1,1,2025-03-26T16:39:09.556Z
2,15.7,148,149,4,5,4,2,2025-03-26T16:42:08.059Z
3,15.6,256,170,9,7,6,6,2025-03-26T16:46:09.655Z
2,15.9,147,158,6,4,4,3,2025-03-26T16:49:31.230Z
3,17,283,176,10,6,8,10,2025-03-26T16:52:47.972Z
1,17.2,75,146,8,4,1,1,2025-03-26T16:55:45.366Z
