Task ID,Speed (km/h),Average Power (W),Average HR (bpm),Reward,Pain/Discomfort,Physical Difficulty,Mental Difficulty,Timestamp

3,14.1,230,155,6,2,3,1,2025-04-07T14:06:52.731Z
2,18.9,231,162,6,2,3,1,2025-04-07T14:09:34.205Z
1,25.3,173,153,3,2,2,1,2025-04-07T14:11:38.265Z
2,22,283,167,6,2,3,1,2025-04-07T14:14:11.835Z
3,18.5,317,176,4,2,5,1,2025-04-07T14:16:52.400Z
1,20.3,113,146,3,2,1,1,2025-04-07T14:19:08.062Z
3,16.4,273,171,6,2,6,1,2025-04-07T14:21:45.447Z
1,20,108,147,2,2,1,1,2025-04-07T14:23:55.848Z
2,17.7,188,154,3,2,4,1,2025-04-07T14:27:13.757Z
3,18.2,312,174,6,3,6,1,2025-04-07T14:29:53.353Z
1,20.2,104,146,2,2,1,1,2025-04-07T14:32:55.795Z
2,17.5,180,152,1,1,2,1,2025-04-07T14:35:30.485Z
2,24.2,338,169,5,2,5,1,2025-04-07T14:37:25.915Z
1,31.7,330,172,3,2,3,1,2025-04-07T14:39:19.583Z
3,19.6,340,177,4,3,7,2,2025-04-07T14:42:15.451Z
2,21.6,261,173,3,2,6,2,2025-04-07T14:45:02.679Z
1,20.3,107,139,2,2,2,1,2025-04-07T14:47:54.465Z
3,19.4,339,174,6,3,6,1,2025-04-07T14:50:19.305Z
1,16.8,76,141,2,2,1,2,2025-04-07T14:53:20.724Z
2,24.7,329,167,6,2,6,2,2025-04-07T14:55:37.368Z
3,18,306,177,6,3,6,2,2025-04-07T14:58:09.945Z
1,19.1,96,144,2,3,2,1,2025-04-07T15:00:33.164Z
3,20.1,349,173,7,3,7,2,2025-04-07T15:03:06.495Z
2,24.1,321,175,6,3,7,2,2025-04-07T15:05:16.828Z
3,18.4,314,179,6,3,7,3,2025-04-07T15:07:43.238Z
1,18.8,92,146,2,2,2,2,2025-04-07T15:11:16.433Z
2,19.9,220,158,3,4,3,1,2025-04-07T15:14:12.345Z
1,24.8,159,146,2,3,1,2,2025-04-07T15:16:07.796Z
3,17.8,303,170,6,3,6,2,2025-04-07T15:18:46.989Z
2,29,422,181,6,3,5,3,2025-04-07T15:20:56.673Z
