Task ID,Speed (km/h),Average Power (W),Average HR (bpm),Reward,Pain/Discomfort,Physical Difficulty,Mental Difficulty,Timestamp

1,9.6,35,111,3,2,2,1,2025-04-03T14:12:53.290Z
3,7.9,122,167,5,4,4,4,2025-04-03T14:19:43.998Z
2,10.4,90,173,4,4,3,3,2025-04-03T14:24:41.234Z
3,7,108,183,4,5,5,5,2025-04-03T14:29:55.051Z
1,11.9,44,161,4,2,2,2,2025-04-03T14:34:04.593Z
2,9,77,170,4,3,3,3,2025-04-03T14:38:24.799Z
3,6.1,94,180,5,5,5,4,2025-04-03T14:44:27.302Z
1,14.8,59,162,4,2,2,1,2025-04-03T14:48:31.089Z
2,9.2,80,171,3,3,2,3,2025-04-03T14:54:02.169Z
1,16.2,69,160,3,3,3,2,2025-04-03T14:57:24.834Z
3,5,77,169,5,4,4,4,2025-04-03T15:05:08.686Z
2,8.1,72,164,4,4,4,3,2025-04-03T15:11:38.426Z
1,15.2,63,161,4,3,3,3,2025-04-03T15:14:42.028Z
3,5.3,82,169,5,4,4,3,2025-04-03T15:21:38.817Z
2,8.5,73,165,4,4,4,4,2025-04-03T15:27:13.659Z
1,13.2,52,147,4,4,3,2,2025-04-03T15:30:51.807Z
2,9,79,160,5,3,3,2,2025-04-03T15:35:52.622Z
3,4.9,75,159,5,3,5,4,2025-04-03T15:43:39.274Z
1,13.5,55,150,3,3,2,2,2025-04-03T15:47:20.675Z
2,8.5,74,153,5,3,2,2,2025-04-03T15:51:51.028Z
1,12.9,49,144,3,3,2,2,2025-04-03T15:55:22.777Z
3,5.1,79,156,6,4,4,4,2025-04-03T16:02:25.988Z
1,13.7,54,151,5,3,2,2,2025-04-03T16:05:26.125Z
2,10.2,90,166,4,3,3,3,2025-04-03T16:10:15.886Z
3,6.9,107,175,6,4,5,4,2025-04-03T16:15:33.021Z
2,9.1,80,165,5,4,5,4,2025-04-03T16:23:56.963Z
1,14.2,58,155,4,3,2,3,2025-04-03T16:27:12.974Z
2,8.8,76,163,6,4,4,4,2025-04-03T16:31:35.646Z
3,5.2,79,169,6,4,5,4,2025-04-03T16:38:36.219Z
1,14.4,59,158,6,4,2,1,2025-04-03T16:42:00.696Z
