Task ID,Speed (km/h),Average Power (W),Average HR (bpm),Reward,Pain/Discomfort,Physical Difficulty,Mental Difficulty,Timestamp

3,3.7,57,125,9,8,8,8,2025-04-04T11:15:01.682Z
2,6.3,52,123,9,7,6,6,2025-04-04T11:22:56.742Z
1,8.2,27,105,8,7,4,4,2025-04-04T11:28:57.097Z
2,3.9,31,104,7,8,8,8,2025-04-04T11:39:00.566Z
3,1.8,28,101,9,8,8,8,2025-04-04T12:03:42.208Z
1,6.6,21,97,8,7,6,6,2025-04-04T12:10:28.895Z
2,2.9,24,98,8,7,8,8,2025-04-04T12:24:53.008Z
1,5.4,18,93,8,7,7,7,2025-04-04T12:32:37.393Z
2,3.5,30,103,8,7,7,7,2025-04-04T12:44:46.865Z
1,7,22,97,8,6,6,7,2025-04-04T12:50:11.178Z
2,2.9,24,94,7,7,7,8,2025-04-04T13:05:28.045Z
1,4.9,17,90,7,8,7,8,2025-04-04T13:15:14.082Z
2,2.5,22,92,8,8,8,8,2025-04-04T13:34:57.204Z
