Task ID,Speed (km/h),Average Power (W),Average HR (bpm),Reward,Pain/Discomfort,Physical Difficulty,Mental Difficulty,Timestamp

1,19.8,104,134,6,1,2,1,2025-03-21T11:46:48.666Z
2,11.2,104,138,3,2,4,3,2025-03-21T11:50:47.236Z
3,8.3,129,156,2,4,6,6,2025-03-21T11:55:51.763Z
2,10.6,95,147,3,2,3,4,2025-03-21T11:59:44.470Z
1,17.7,83,135,7,2,1,2,2025-03-21T12:02:25.252Z
3,7.8,121,155,4,3,6,7,2025-03-21T12:08:21.512Z
2,9.8,88,142,6,3,3,5,2025-03-21T12:12:25.087Z
1,17.3,79,133,8,2,2,2,2025-03-21T12:15:07.494Z
3,7,109,147,3,5,7,8,2025-03-21T12:20:27.361Z
1,14.6,64,127,8,2,3,3,2025-03-21T12:23:55.005Z
2,10,90,137,5,3,6,6,2025-03-21T12:27:56.355Z
3,6.6,103,143,2,6,7,7,2025-03-21T12:33:41.623Z
1,16.4,75,127,8,3,4,4,2025-03-21T12:40:48.012Z
2,9.4,85,131,4,4,6,6,2025-03-21T12:45:00.967Z
3,7,109,149,4,6,8,8,2025-03-21T12:50:38.592Z
1,16.8,80,132,7,3,5,4,2025-03-21T12:56:12.686Z
3,6.8,106,146,5,6,7,8,2025-03-21T13:02:14.289Z
2,9.4,85,138,7,4,4,5,2025-03-21T13:06:33.595Z
1,16.3,75,132,7,2,4,3,2025-03-21T13:09:26.280Z
2,9.5,84,135,3,4,6,7,2025-03-21T13:15:30.895Z
3,6.4,98,146,3,6,9,8,2025-03-21T13:21:16.134Z
1,16.2,74,130,7,4,3,3,2025-03-21T13:24:32.571Z
3,6.6,102,148,5,5,8,8,2025-03-21T13:30:14.129Z
2,8.8,78,139,4,4,7,7,2025-03-21T13:35:32.344Z
1,15.6,71,130,6,3,4,5,2025-03-21T13:38:30.166Z
3,6.1,95,146,5,7,8,8,2025-03-21T13:44:26.786Z
2,8.5,75,137,6,4,4,5,2025-03-21T13:50:12.683Z
1,15.5,71,135,8,3,3,3,2025-03-21T13:52:59.692Z
3,6.3,98,151,5,6,8,8,2025-03-21T13:58:39.406Z
2,9.8,89,146,5,5,5,6,2025-03-21T14:03:50.170Z
1,17.3,83,141,7,5,3,2,2025-03-21T14:06:30.625Z
